H              1.195000E-006   0.000000E+000        0.00E+00********
D2CN           2.167553E-018   0.000000E+000        0.00E+00********
DCN            2.434630E-012   0.000000E+000        0.00E+00********
HD             1.597954E-005   2.000000E-005        0.00E+00   -0.20
HCN            3.128533E-010   0.000000E+000        0.00E+00********
D2             2.005419E-006   0.000000E+000        0.00E+00********
OD-            3.327990E-017   0.000000E+000        0.00E+00********
HDO            1.432410E-009   0.000000E+000        0.00E+00********
E-             1.754312E-008   0.000000E+000        0.00E+00********
CH2D3+         3.412289E-017   0.000000E+000        0.00E+00********
CHD3+          8.711777E-023   0.000000E+000        0.00E+00********
H2             5.000011E-001   5.000000E-001        0.00E+00    0.00
N              1.193295E-007   7.500000E-005        0.00E+00   -1.00
CHD2           2.115901E-016   0.000000E+000        0.00E+00********
HS             3.714814E-012   0.000000E+000        0.00E+00********
NS             3.357186E-009   0.000000E+000        0.00E+00********
S              2.277956E-008   8.000000E-008        0.00E+00   -0.72
D2CS           1.088976E-013   0.000000E+000        0.00E+00********
OD             2.804466E-012   0.000000E+000        0.00E+00********
H2CO           2.572889E-014   0.000000E+000        0.00E+00********
DCOOH          1.284019E-011   0.000000E+000        0.00E+00********
HCOOD          1.284019E-011   0.000000E+000        0.00E+00********
HDCO           2.102002E-015   0.000000E+000        0.00E+00********
DCOOD          7.002338E-013   0.000000E+000        0.00E+00********
OH             7.594314E-010   0.000000E+000        0.00E+00********
D2CO           1.020588E-016   0.000000E+000        0.00E+00********
H+             8.884062E-013   0.000000E+000        0.00E+00********
CO+            1.735605E-016   0.000000E+000        0.00E+00********
He+            1.599427E-012   0.000000E+000        0.00E+00********
CH             3.765688E-013   0.000000E+000        0.00E+00********
C+             5.221083E-012   0.000000E+000        0.00E+00********
He             9.000000E-002   9.000000E-002        0.00E+00   -0.00
C2H3           1.765775E-016   0.000000E+000        0.00E+00********
C2H2+          6.151142E-018   0.000000E+000        0.00E+00********
C2D2+          3.078655E-020   0.000000E+000        0.00E+00********
CD             5.851365E-015   0.000000E+000        0.00E+00********
CD+            4.348576E-022   0.000000E+000        0.00E+00********
NH             3.805565E-011   0.000000E+000        0.00E+00********
NH+            7.663767E-017   0.000000E+000        0.00E+00********
ND             4.167138E-013   0.000000E+000        0.00E+00********
ND+            1.226274E-021   0.000000E+000        0.00E+00********
CH3            1.879686E-014   0.000000E+000        0.00E+00********
CH3+           1.284700E-014   0.000000E+000        0.00E+00********
CH2D           2.177959E-015   0.000000E+000        0.00E+00********
CH2D+          1.636181E-015   0.000000E+000        0.00E+00********
CHD2+          2.377365E-016   0.000000E+000        0.00E+00********
CD3            6.838998E-018   0.000000E+000        0.00E+00********
CD3+           1.683327E-017   0.000000E+000        0.00E+00********
NH2            1.334914E-011   0.000000E+000        0.00E+00********
NH2+           3.656755E-016   0.000000E+000        0.00E+00********
NHD            8.013235E-014   0.000000E+000        0.00E+00********
NHD+           2.816967E-020   0.000000E+000        0.00E+00********
ND2            3.874011E-016   0.000000E+000        0.00E+00********
ND2+           5.657275E-022   0.000000E+000        0.00E+00********
C2HD           9.874668E-012   0.000000E+000        0.00E+00********
C2HD+          5.174479E-019   0.000000E+000        0.00E+00********
C2D2           1.017051E-012   0.000000E+000        0.00E+00********
C2H3+          2.669355E-015   0.000000E+000        0.00E+00********
C2HD2          2.715481E-019   0.000000E+000        0.00E+00********
C2HD2+         2.327186E-017   0.000000E+000        0.00E+00********
HDCO+          6.206005E-017   0.000000E+000        0.00E+00********
D2CO+          5.607338E-018   0.000000E+000        0.00E+00********
HS+            6.043839E-014   0.000000E+000        0.00E+00********
DS             9.446578E-011   0.000000E+000        0.00E+00********
DS+            6.704655E-016   0.000000E+000        0.00E+00********
NS+            4.489790E-015   0.000000E+000        0.00E+00********
H-             3.035398E-014   0.000000E+000        0.00E+00********
S+             1.193485E-012   0.000000E+000        0.00E+00********
CH5+           8.393533E-015   0.000000E+000        0.00E+00********
CH4            1.454400E-008   0.000000E+000        0.00E+00********
CH3D2+         3.129266E-016   0.000000E+000        0.00E+00********
CH2D2          3.945004E-010   0.000000E+000        0.00E+00********
CHD3           2.660077E-011   0.000000E+000        0.00E+00********
CH4D+          1.436022E-015   0.000000E+000        0.00E+00********
CH2            5.098475E-014   0.000000E+000        0.00E+00********
CD2            3.567881E-016   0.000000E+000        0.00E+00********
CHD            4.320546E-015   0.000000E+000        0.00E+00********
H2O+           4.063886E-015   0.000000E+000        0.00E+00********
O              4.919081E-005   3.200000E-004        0.00E+00   -0.85
C2H4+          4.541209E-017   0.000000E+000        0.00E+00********
C2H            1.063033E-013   0.000000E+000        0.00E+00********
C              4.938681E-013   1.400000E-004        0.00E+00   -1.00
C2D3           5.289389E-021   0.000000E+000        0.00E+00********
CH+            1.078423E-020   0.000000E+000        0.00E+00********
CD2+           1.498964E-022   0.000000E+000        0.00E+00********
CD4+           8.859452E-030   0.000000E+000        0.00E+00    8.86
CHD4+          4.280206E-019   0.000000E+000        0.00E+00********
OD+            1.590079E-017   0.000000E+000        0.00E+00********
D2O+           7.003455E-019   0.000000E+000        0.00E+00********
NH2D+          1.675455E-016   0.000000E+000        0.00E+00********
NHD3+          4.515301E-018   0.000000E+000        0.00E+00********
C2H+           8.680349E-022   0.000000E+000        0.00E+00********
O2+            1.252617E-011   0.000000E+000        0.00E+00********
